現地コード,銘柄名(English),銘柄名,市場,業種,取扱
AMBA,"AMBARELLA, INC.",アンバレラ,NASDAQ,半導体関連,○
AMD,"ADVANCED MICRO DEVICES, INC.",アドバンスト・マイクロ・デバイス(AMD),NASDAQ,半導体関連,○
AME,AMETEK INC,アメテック,NYSE,その他製造,○
AMG,AFFILIATED MANAGERS GROUP,アフィリエーテッド・マネジャーズ・グループ,NYSE,金融（その他）,○
AMGN,AMGEN INC.,アムジェン,NASDAQ,医薬品,○
AMKR,"AMKOR TECHNOLOGY, INC.",アムコー・テクノロジー,NASDAQ,半導体関連,○
AMP,"AMERIPRISE FINANCIAL, INC.",アメリプライズ・ファイナンシャル,NYSE,金融（証券）,○
AMTD,TD AMERITRADE HOLDING,ＴＤアメリトレード・ホールディング,NASDAQ,金融（証券）,○
AMX,AMERICA MO-ADR L,アメリカ・モービル（ＡＤＲ　Ｓｒ．Ｌ）,NYSE,通信関連,○
AMZN,"AMAZON.COM, INC.",アマゾン・ドット・コム,NASDAQ,小売,○
ANDE,"THE ANDERSONS, INC.",アンダーソンズ,NASDAQ,食品・飲料,○
ANDV,ANDEAVOR,アンデバー,NYSE,石油・ガス・パイプライン,○
ANET,"ARISTA NETWORKS, INC",アリスタ・ネットワークス,NYSE,ネットワーク・ネットワークセキュリティ,○
ANF,ABERCROMBIE & FITCH CO.,アバークロンビー・アンド・　フィッチ,NYSE,小売,○
ANIP,ANI PHARMACEUTICALS INC,ANIファーマシューティカルズ,NASDAQ,医薬品,○
ANSS,ANSYS INC,アンシス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
ANTM,ANTHEM INC.,アンセム,NYSE,医療・医療サービス,○
AON,AON PLC,エーオン,NYSE,金融（保険）,○
AOS,SMITH (A.O.) CORP,Ａ．Ｏ．スミス,NYSE,その他製造,○
APA,APACHE CORPORATION,アパッチ,NYSE,石油・ガス・パイプライン,○
APC,ANADARKO PETROLEUM CORPORATION,アナダルコ・ペトロリウム,NYSE,石油・ガス・パイプライン,○
APD,AIR PRODS & CHEM,エアープロダクツ・アンド・ケミカルズ,NYSE,石油・ガス・パイプライン,○
APH,AMPHENOL CORP-CL A,アンフェノール,NYSE,その他製造,○
APPN,APPIAN CORP,アピアン・コーポレーション,NASDAQ,ソフトウェア・ソフトウェアサービス,○
APRN,BLUE APRON HOLDINGS,ブルーエプロン,NYSE,小売,○
APTV,APTIV PLC,アプティブ　PLC,NYSE,その他製造,○
APY,APERGY CORPORATION,アパジー・コーポレーション,NYSE,その他製造,○
ARCC,ARES CAPITAL CORP,エイリス・キャピタル,NASDAQ,金融（証券）,○
ARD,ARDAGH GROUP S.A.,アルダー・グループ,NYSE,その他製造,○
ARGX,ARGENX SE,アルジェンX,NASDAQ,医薬品（バイオテクノロジー）,○
