現地コード,銘柄名(English),銘柄名,市場,業種,取扱
DRNA,DICERNA PHARMA,DICERNA PHARMA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
DRQ,DRIL-QUIP,DRIL-QUIP,NYSE,石油関連サービス & 装置,-
DRRX,DURECT CORP,DURECT CORP,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
DRV,DIREXION DAILY REAL ESTATE BEAR 3X SHARES ,Direxion デイリー 米国リート ベア3倍 ETF,NYSE Arca,その他,○
DRW,WT GLB EX-US RE,WT GLB EX-US RE,NYSE Arca,--,-
DRYS,DRYSHIPS INC ORD,DRYSHIPS INC ORD,NASDAQ,海運貨物 & 物流,-
DS,DRIVE SHACK INC,DRIVE SHACK INC,NYSE,レジャー & レクリエーション,-
DSE,DUFF & PHELPS SE,DUFF & PHELPS SE,NYSE,クローズドエンド型投資信託,-
DSGX,DESCARTES SYS,DESCARTES SYS,NASDAQ,ソフトウェア,-
DSI,ISH MSCI KLD400,ISH MSCI KLD400,NYSE Arca,--,-
DSKE,DASEKE INC,DASEKE INC,NASDAQ,陸運貨物 & 物流,-
DSL,DUBLELN INM SLTN,DUBLELN INM SLTN,NYSE,クローズドエンド型投資信託,-
DSM,DREYFUS STRAT,DREYFUS STRAT,NYSE,クローズドエンド型投資信託,-
DSPG,DSP GRP INC,DSP GRP INC,NASDAQ,通信機器 & ネットワーク,-
DSU,BLKRK DEBT STRGY,BLKRK DEBT STRGY,NYSE,クローズドエンド型投資信託,-
DSUM,INVS CHNS YN DM,INVS CHNS YN DM,NYSE Arca,--,-
DSW,DSW INC-CLASS A,ＤＳＷ,NYSE,その他製造,○
DSWL,DESWELL INDS,DESWELL INDS,NASDAQ,電気部品 & 装置,-
DSX,DIANA SHIPPING,DIANA SHIPPING,NYSE,海運貨物 & 物流,-
DTD,WT US TOT DIV FD,WT US TOT DIV FD,NYSE Arca,--,-
DTE,DTE ENERGY COMPANY,ＤＴＥエナジー,NYSE,石油・ガス・パイプライン,○
DTEA,DAVIDSTEA INC.,デイビッズ・ティー,NASDAQ,小売,○
DTF,DTF TAX FRE INCM,DTF TAX FRE INCM,NYSE,クローズドエンド型投資信託,-
DTH,WT DEFA EQ INCM,WT DEFA EQ INCM,NYSE Arca,--,-
DTN,WT US DIV EX FD,WT US DIV EX FD,NYSE Arca,--,-
DTRM,DETERMINE INC,DETERMINE INC,NASDAQ,ソフトウェア,-
DUC,DUFF & PHELPS,DUFF & PHELPS,NYSE,クローズドエンド型投資信託,-
DUG,PRSH US OIL&GAS,PRSH US OIL&GAS,NYSE Arca,--,-
DUK,DUKE ENERGY CORPORATION,デューク・エナジー　,NYSE,電機・電力・エネルギー,○
DUSA,DAVIS SLCT US EQ,DAVIS SLCT US EQ,NASDAQ,--,-
DUSL,DRXN INDSTRLS 3X,DRXN INDSTRLS 3X,NYSE Arca,--,-
DUST,DIREXION DAILY GOLD MINERS BEAR 3X SHARES,Direxion デイリー 金鉱株 ベア3倍 ETF,NYSE Arca,その他,○
DVA,DAVITA INC,ダヴィータ,NYSE,医療・医療サービス,○
DVAX,DYNAVAX TECHNOLO,DYNAVAX TECHNOLO,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
DVCR,DIVERSICARE HEAL,DIVERSICARE HEAL,NASDAQ,ヘルスケア施設 & サービス,-
